x1,x2,y
2.8613268922292305,4.081085731927612,1.0
2.57264224305635,3.976109269735233,1.0
3.563577342949348,3.979186898313903,1.0
2.4535965774103525,3.740747965087352,1.0
3.3789345105024307,4.276643809427382,1.0
2.8734910762091896,3.900720218079435,1.0
3.740424705338025,3.6881079121357554,1.0
3.1559378200803145,4.232896140920738,1.0
2.9700498314938506,3.259764570546575,1.0
2.7061608186038097,4.669322907977166,1.0
2.6881029696582317,4.091033703314599,1.0
3.270623700047066,3.8077611047048583,1.0
3.0558909751593526,2.8216284035081096,1.0
2.87606294010511,3.320438913634728,1.0
2.8825630727182907,3.4037234769902587,1.0
3.0459829718934066,4.223788682103264,1.0
2.9304557709757137,4.051569391170388,1.0
2.37880162672249,4.0460469631462495,1.0
2.3089185191379755,3.79074707924407,1.0
3.21702597564396,3.791124058785729,1.0
3.6447100179729475,4.298895242256028,1.0
3.5923561609862804,4.130186096585682,1.0
3.2375035492825837,4.282935336508177,1.0
2.585259670473755,4.208529475588648,1.0
2.557521001338041,3.340463114762618,1.0
2.4957037213553033,3.7181295486105967,1.0
3.2323905823407877,3.9402446498959804,1.0
3.0478227746364506,4.133516732496293,1.0
2.885326856978018,3.6965503673043285,1.0
3.5309020159504,4.468573129102089,1.0
3.1796287938967693,3.5112830531184045,1.0
3.147775990659678,4.08412107271719,1.0
3.263103797566307,4.837372462115288,1.0
3.64558414146789,3.8938473035709853,1.0
3.0749315410910785,3.557280802344156,1.0
2.6573719268322384,3.6086006135994624,1.0
2.6823939352492205,4.369061244240839,1.0
3.3090529955061903,3.922663849212815,1.0
2.481488246132225,4.103473412947494,1.0
3.194254421932128,4.477659412010319,1.0
2.4947818293633968,4.397741499175311,1.0
3.262046965393712,4.148047140596952,1.0
3.1687309018082104,3.8395298158054247,1.0
3.9502296225461015,3.8727229632038322,1.0
2.805530192581862,3.836425369324114,1.0
3.236274959127349,4.119818309346182,1.0
3.1759740454497205,4.026179445948856,1.0
2.3758632928585466,3.8881307819880213,1.0
3.33901404707251,3.875674847258053,1.0
2.7350839086899126,4.154888491736239,1.0
2.8362288362467636,4.781430845336784,1.0
3.558586778696789,4.366062547406875,1.0
3.480523028742509,3.4900164051561315,1.0
3.2987109130121177,3.776298109930722,1.0
3.1174226752826835,3.9490096020803738,1.0
2.614210735895214,4.310403017773115,1.0
2.8228037664192063,4.049201899844153,1.0
2.912539752665653,3.7738291120160485,1.0
3.118368774655686,4.399499622064824,1.0
2.7637059737410987,4.246837780317776,1.0
2.989472483137675,4.202937857225028,1.0
3.282093510225341,3.9033492867612134,1.0
3.574594720721831,4.885587453224102,1.0
3.0058656915210036,3.8520096198374008,1.0
3.650480858107609,4.245385615066608,1.0
1.6786944333576215,5.08867877929661,1.0
2.723293322992635,3.4354439206870597,1.0
2.72139590213005,3.453026001157951,1.0
2.616057024330124,4.635482626241899,1.0
3.2191690421978416,4.564468475620069,1.0
2.6968878777157457,3.8915743803133758,1.0
3.20191657153707,4.095241775380675,1.0
2.769879021048603,3.85154250036209,1.0
2.876195035160452,4.014649788359363,1.0
3.432737011328838,3.8913991848491523,1.0
3.1515172308285053,3.4812749037567032,1.0
3.382303886236883,3.537544389741184,1.0
2.5817007954704825,3.8538850169646035,1.0
3.9894419941925783,3.4690252892002884,1.0
2.1528116927322243,3.857592322358642,1.0
2.0785546301656033,3.5343885540196336,1.0
3.0624321098713936,4.53009271716635,1.0
2.7122793107316654,4.208172942013785,1.0
2.637033390662645,3.767056315426141,1.0
3.2493824264341593,4.055719661812084,1.0
3.571071224203273,4.226287639724868,1.0
3.1193354342745008,4.229920249947404,1.0
3.3265519946466453,3.6903432911403025,1.0
2.716490925299178,4.0762189488283305,1.0
3.3006982458388965,3.9236431233502005,1.0
3.1746139057844323,4.801526954361532,1.0
2.9560219307471587,3.786389053647553,1.0
3.389840434648834,3.970466525146841,1.0
3.8114414167855784,4.117797924734298,1.0
3.134683770275958,4.421057421596001,1.0
2.943617676767328,3.909158556482442,1.0
3.1925205256433036,4.097832795447028,1.0
3.358920094228309,4.719262774734067,1.0
3.0647777560028455,4.3555084118707805,1.0
3.1015010253837123,4.315393916059781,1.0
2.8873866733816724,4.356801342367018,1.0
3.316234847188837,3.4001801479825917,1.0
3.3743005843088856,4.165758734188676,1.0
3.6405364365990955,4.35394379206442,1.0
3.2211124976843486,4.759735861460773,1.0
2.4846144327939585,3.3940712198464333,1.0
2.998780058587265,4.207725775299912,1.0
3.004473403048111,3.991459108666445,1.0
3.2337512702267492,3.5728912087490863,1.0
2.177091623381486,3.4811482563757257,1.0
2.722299661738286,4.107819035652029,1.0
2.277544963556869,4.013393946024823,1.0
2.5641159149314587,3.92071114139174,1.0
2.9597142725875134,3.636142729465137,1.0
3.66264338991781,4.639182743408043,1.0
2.780262705260976,4.292272753599159,1.0
2.446070983656856,4.213151994620088,1.0
2.7104562595075503,4.267447202820769,1.0
3.967146979813088,4.261740154373251,1.0
3.376132649488445,3.6094993620039606,1.0
2.6421576138399354,3.397259820919472,1.0
2.6101547070944124,3.6314768039167094,1.0
2.5182968687836236,4.680583072334797,1.0
3.5348293539174658,4.612010882886782,1.0
3.1211673596136564,4.410337619810173,1.0
3.3818170622480452,2.7164862911127696,1.0
3.604983882239596,4.246936206604469,1.0
3.258900340030914,3.5751856857430835,1.0
2.9341085705984984,3.9297141536323097,1.0
2.479633541168391,3.3854934112610913,1.0
3.039937737221348,3.453287335883698,1.0
2.326597015696229,3.919749452793934,1.0
3.933831785938862,3.5390898585220016,1.0
2.74373713118622,4.002427796631351,1.0
3.5886126689490947,3.5544004754401604,1.0
3.2748831647459387,4.294040100651024,1.0
3.2183377088314606,4.1261770832458025,1.0
